COUNTRY_PERIOD_INDEX,WB-WDI-NY.ADJ.DPEM.GN.ZS,IMF-FM-GGR_G01_GDP_PT,IMF-FM-G_X_G01_GDP_PT,WB-WDI-NY.GDP.PCAP.CD
AGO-1990,2.32096876672272,,,
AGO-1991,2.07856988237495,,,
AGO-1992,5.10030576127487,,,
AGO-1993,4.64457978445172,,,450.980076344484
AGO-1994,5.78623089284368,,,329.224181981965
AGO-1995,2.41966632272803,,,398.113614094094
AGO-1996,2.24208728645379,,,454.376649770871
AGO-1997,1.79700580964319,26.5289488317447,26.7605038236821,516.128602285455
AGO-1998,1.83165033362569,21.0131711929477,26.1158781418651,423.40371118599
AGO-1999,2.08936651370406,31.2793433842549,39.374988905772,387.689437952028
AGO-2000,1.98160127056485,37.8421414564401,35.8207321239817,556.884252978488
AGO-2001,1.87334491360907,33.0791073987301,30.2743784358094,527.46411051877
AGO-2002,1.53810825746231,25.3241490276494,27.5690603891114,872.657631363509
AGO-2003,1.49464036296395,26.0203543078589,30.1224865833449,982.805587449171
AGO-2004,1.40666616997259,27.0316966696391,25.9992114562798,1254.696118613
AGO-2005,1.21682532135402,30.0946593298059,23.6907659413358,1900.72380923794
AGO-2006,1.11636419506255,35.7461333930264,27.3310430236574,2597.9635866386
AGO-2007,0.995963987223355,37.9246940532558,34.0715648167318,3121.34872503374
AGO-2008,0.964214355100531,43.4050465460837,47.2007021619659,4081.71750626182
AGO-2009,0.984049695772854,31.9328226424966,38.7285044181654,3123.69888517374
AGO-2010,1.01016408273256,37.5284593025826,34.5509612194294,3586.66369358621
AGO-2011,0.990881258253687,40.4975957404094,33.3021846019799,4608.15516572683
AGO-2012,0.919081228090842,36.871277174905,33.1866548062615,5083.82687346735
AGO-2013,0.858393546159086,32.6708923415426,32.9409927519934,5061.34925297484
AGO-2014,0.75445866464858,27.2345115380708,32.303122661735,5011.9844274536
AGO-2015,0.736354751025435,21.2986443925003,23.8731709900788,3217.33924005417
AGO-2016,0.740349743499013,15.4403085451162,19.4232785180239,1809.70937719455
AGO-2017,0.726864545451603,15.2851185815299,21.0324332519784,2439.37443934002
AGO-2018,0.725903722308709,20.2953480394255,18.2654866682244,2540.50887884546
AGO-2019,0.720941911594837,18.9068975093595,18.2142889052357,2191.34776433537
AGO-2020,0.698844581516494,18.3349843621594,19.9938404821379,1450.90511139418
AGO-2021,0.638020882990015,20.6789289407217,17.2804170911741,1927.47407827687
ALB-1990,0.821005042872939,,,617.230435515505
ALB-1991,1.07315568112607,,,336.586994504629
ALB-1992,1.15368480510073,,,200.852219772323
ALB-1993,0.903824551295354,,,367.279225077581
ALB-1994,0.779831308139228,,,586.416135130865
ALB-1995,0.609982109059035,,,750.604449178826
ALB-1996,0.551435832765694,,,1009.97711053398
ALB-1997,0.609798017992574,,,717.380047745673
ALB-1998,0.552351802839713,26.5102603206442,36.3190893981602,813.789396580449
ALB-1999,0.465123276201477,27.9336571330602,36.671107339696,1033.24253162418
ALB-2000,0.41260810994422,25.759391370622,33.4400537940224,1126.68334010717
ALB-2001,0.359898261020294,25.5438638840079,32.3006227570227,1281.6598256178
ALB-2002,0.353945246565523,25.0251691121778,31.1637295772278,1425.12421860142
ALB-2003,0.346318223910357,24.3836827718752,29.3309186048443,1846.12012081207
ALB-2004,0.32845816164387,24.6981505777535,29.8001833015202,2373.58129170055
ALB-2005,0.310842565639564,25.1350940798877,28.5522174537898,2673.78781583529
ALB-2006,0.278908371633569,25.6230792646641,28.8479191197651,2972.74362094736
ALB-2007,0.254108293547218,25.8225814467888,28.9643307381726,3595.03829536404
ALB-2008,0.248885328189019,26.5266139869668,31.3533725035842,4370.53971639449
ALB-2009,0.251016446649349,25.7861386571506,32.295158013546,4114.13403283023
ALB-2010,0.237299518522626,25.562329107829,29.0410533214753,4094.34968570481
ALB-2011,0.26812258715265,25.1081638183432,28.5831229317559,4437.14116097061
ALB-2012,0.278814321703195,24.4969836654152,27.8971215984375,4247.63134315945
ALB-2013,0.248905095991213,23.6955125241189,28.8493989334494,4413.06338346821
ALB-2014,0.249135930046865,25.9626489704016,31.356010836589,4578.63320812155
ALB-2015,0.245529147438201,26.1290520966806,30.3960840351657,3952.80357364813
ALB-2016,0.2479205021224,27.3168093053286,28.7967871308593,4124.05538986272
ALB-2017,0.24823123835544,27.4295967906912,28.8186210988971,4531.03220675893
ALB-2018,0.247085902678254,27.1336202468863,28.7349187980167,5287.66080067575
ALB-2019,0.24116544921998,26.8889496769776,28.8101656459405,5396.2142432843
ALB-2020,0.246038756135664,25.7192093879737,32.3843492838729,5343.0377039956
ALB-2021,0.224433449475748,27.3722482331418,31.9433800180229,6377.20309553753
ARB-1990,1.44207000067584,,,2833.22189337545
ARB-1991,1.84273262787405,,,2020.36158664875
ARB-1992,1.12478333574038,,,1969.84761104858
ARB-1993,1.16208730608008,,,1963.78968068776
ARB-1994,1.22142597765419,,,1995.55833298332
ARB-1995,1.08150742126584,,,2058.45956141821
ARB-1996,0.903843060663707,,,2171.31984204035
ARB-1997,0.881788086072943,,,2283.70037598542
ARB-1998,0.86939644811733,,,2174.90400851706
ARB-1999,0.833705949894656,,,2362.99620692573
ARB-2000,0.67033315903439,,,2649.77245147363
ARB-2001,0.670424615322552,,,2527.91694092746
ARB-2002,0.652334719378253,,,2478.93415179419
ARB-2003,0.61420111225822,,,2697.48562999278
ARB-2004,0.563831668166731,,,3140.30963599122
ARB-2005,0.536006120963661,,,3760.92011203427
ARB-2006,0.503818386528648,,,4362.93231007856
ARB-2007,0.526024422893672,,,4943.51055312193
ARB-2008,0.457124977140121,,,6084.78537345253
ARB-2009,0.515809596797494,,,5123.70680136245
ARB-2010,0.498379223327826,,,5911.3303946217
ARB-2011,0.430923115437095,,,6874.84318714055
ARB-2012,0.408432979701544,,,7344.63076389533
ARB-2013,0.430755424432636,,,7344.23105138547
ARB-2014,0.423607585029836,,,7300.59977114317
ARB-2015,0.450927981217668,,,6258.60722652973
ARB-2016,0.429258974396676,,,6022.88281755523
ARB-2017,0.407894787329958,,,6068.60300810316
ARB-2018,0.389311874867827,,,6624.83465856668
ARB-2019,0.393619510256573,,,6565.98083975861
ARB-2020,0.444688618976576,,,5735.50986687093
ARE-2000,0.133925024409184,32.448568422655,21.7882108477347,31855.5006047175
ARE-2001,0.135171799142502,26.4337790698043,25.228458125105,29909.0094348435
ARE-2002,0.140455401625644,20.0949178363401,21.3327571534195,30221.9669995136
ARE-2003,0.129774335350504,22.4015996665222,20.0499937056906,32607.3729348287
