COUNTRY_PERIOD_INDEX,YEAR,ISO3_COUNTRY_CODE,GEO_REGION,ADMIN_REGION,LENDING_TYPE,INCOME_GROUP,GE.EST,NY.GDP.PCAP.CD,DT.DOD.DLXF.CD,DT.DOD.DIMF.CD,SP.URB.TOTL.IN.ZS,SP.POP.TOTL,FS.AST.PRVT.GD.ZS,DT.DOD.DECT.GN.ZS,FR.INR.LEND,EN.URB.LCTY.UR.ZS,SP.POP.DPND,NY.GDP.MKTP.CD,EN.POP.DNST,FR.INR.DPST,NV.SRV.TOTL.ZS,BM.KLT.DINV.WD.GD.ZS,NY.GDS.TOTL.ZS,GC.XPN.TOTL.GD.ZS,SL.IND.EMPL.ZS,SP.POP.GROW,GC.TAX.INTT.RV.ZS,NE.RSB.GNFS.ZS,SL.UEM.INTM.ZS,NE.CON.GOVT.ZS,NY.GNS.ICTR.ZS,SL.TLF.CACT.ZS,FP.CPI.TOTL.ZG,GC.XPN.INTP.RV.ZS,BN.CAB.XOKA.GD.ZS,NE.GDI.TOTL.ZS,NE.TRD.GNFS.ZS,FR.INR.RINR,BG.GSR.NFSV.GD.ZS,NV.SRV.TOTL.KD.ZG,NY.GNP.MKTP.KD.ZG,NY.GDP.MKTP.KD.ZG,BX.KLT.DINV.WD.GD.ZS,NV.IND.TOTL.KD.ZG
GBR-2002,2002,GBR,ECS,,LNX,HIC,1.77972555160522,30158.7017807858,,,80.1146062677742,59370479.0,124.533460121241,,4.0,15.4878378115577,52.4964301559527,1790536570743.41,245.40354234696,,67.8785179877554,6.75227786221514,16.326007871788,35.6561692752497,24.0201800032484,0.423337079636281,,-2.37317163410751,4.248,18.0900450844853,16.7124245110268,61.254,1.52040245947455,5.97460415163221,-1.96774674220137,18.6991795058955,51.2361820991323,1.87229360848,15.3526241999746,1.49825480946622,2.5686709750691,1.70902736258567,5.01305498138785,0.961059263451276
GBR-2003,2003,GBR,ECS,,LNX,HIC,1.74633467197418,34556.7726095905,,,80.2331593332802,59647577.0,129.216112132892,,3.69579166666667,15.4862362738597,52.357292952779,2061227755102.04,246.548906708552,,68.3567233952897,3.9821352180636,16.191578310371,36.8313079900071,23.4559394359555,0.465641113602993,,-2.13076890175223,4.289,18.7759702558887,16.4970008953534,61.368,1.37650038542013,5.98880120236526,-1.82204886055783,18.3223472121232,50.0681187039704,1.28051509830497,15.7788046650032,3.64554867851095,3.46395586472501,3.21851612669614,1.74707721568844,1.88898288536497
GBR-2004,2004,GBR,ECS,,LNX,HIC,1.86802077293396,40504.4118103928,,,80.3423284929998,59987905.0,136.667035880836,,4.37981666666667,15.4706189434406,52.2157863407455,2429774807762.72,247.955627660894,,69.0003262647657,5.29430485184774,15.7811177845944,37.2869389357439,22.4198824718188,0.568943113421317,,-2.31949382997914,4.23,19.3341636884646,15.7863531789456,61.417,1.39039756680422,5.89458216676246,-2.28435751976608,18.1006116145736,50.2885521756133,1.60543979164839,16.4132589175978,3.06216312945828,2.31999229945323,2.32601853325993,3.58303251413023,-0.657568508988547
GBR-2005,2005,GBR,ECS,,LNX,HIC,1.76157212257385,42240.2462987547,,,80.4455938127627,60401206.0,142.664487913407,,4.648675,15.4377447475987,51.8275715627106,2551361818181.82,249.663977183483,,69.2939029352595,6.26765055071042,16.2829975293052,37.7302246429536,22.1649739599228,0.68661130607346,,-2.13027053644791,4.04,19.5345943592335,16.41881504271,61.666,2.0891364902507,6.07465909477335,-1.97517731781616,18.4132680657531,52.5442740383211,1.73498971863596,16.9450740939579,3.97893822739223,3.1512690840577,2.7906547174688,9.90268786448172,-0.272679044559538
GBR-2006,2006,GBR,ECS,,LNX,HIC,1.6667982339859,44695.161023424,,,80.5464353583991,60846820.0,153.471395323663,,4.63825833333333,15.398099304131,51.4008482871775,2719558417663.29,251.50589013351,,69.3450963411994,5.23081061169933,17.0306072743018,37.9527495128816,22.0324896834038,0.73504867842129,,-1.87905932019918,4.641,19.7128707512449,15.8075660062432,62.098,2.4556616643929,6.15511541095403,-3.10941980167091,18.909666594501,56.7047791729812,1.51610423583348,17.8190961868854,2.1494411211697,0.563242162625201,2.18982132415704,7.4878491502754,3.13827154110449
GBR-2007,2007,GBR,ECS,,LNX,HIC,1.64163875579834,50629.0799172887,,,80.6483331957387,61322463.0,169.583348638841,,5.50870833333333,15.5050220456578,51.156186206586,3104699879951.98,253.471925763651,,69.7684969475985,11.9301475401369,17.2415415320588,38.2371535235856,22.161664912806,0.778666112441256,,-1.93339171981706,4.486,19.5927252761275,15.4620465991055,61.942,2.38656150773327,6.71246820313953,-3.71636602944722,19.1749332518758,52.7493524964733,3.44659213990367,17.9932110510253,4.14674882494441,2.49971041785845,2.93091133582351,6.74831602886359,-0.873137129446604
GBR-2008,2008,GBR,ECS,,LNX,HIC,1.63480663299561,47652.4030691881,,,80.7547673906116,61806995.0,190.146653043876,,4.67530833333333,15.6108714731369,51.1947226586789,2945251838235.29,255.474703426611,,69.7952274879121,12.1108919197481,16.6109834061179,40.9965067153825,21.3850946091178,0.787032622318939,,-1.67767537106397,4.822,20.2703503957329,14.4242378566369,62.185,3.52140856342539,6.60706609251933,-3.86567706212854,18.2886587771819,56.4365501052604,1.32675740896323,19.0046771852674,0.590207497337872,-1.24842046966396,-0.0494116727402769,8.60551599075423,-2.02941110319058
GBR-2009,2009,GBR,ECS,,LNX,HIC,1.50809645652771,39009.3715547821,,,80.8692180088478,62276270.0,191.129828943179,,0.644866666666667,15.7200382277763,51.4406852551869,2429358155475.93,257.414417393461,,71.6961918167506,-1.9922098932577,14.7476120699882,43.4910751216009,19.5781546510129,0.756390859593407,,-1.23899820764971,7.25,21.8398042843264,12.9379759647567,61.994,1.96173173560109,6.23440594954458,-3.01852853421921,15.9866102776379,54.6537301085991,-1.33576903136853,19.7564878016244,-3.27002453883568,-3.4799607824153,-4.58740819226323,0.598804602454409,-9.23218759250791
GBR-2010,2010,GBR,ECS,,LNX,HIC,1.6179975271225,39778.3220528565,,,80.995165116277,62766365.0,183.762819228277,,0.5,15.8237482754193,51.738023164778,2496740681057.14,259.440189310958,,71.0022471298192,2.17913913486089,15.0596686922398,43.9387835050398,19.1850760663061,0.783888646646516,,-1.55844734531101,7.48,21.4325808449976,13.8581873866829,61.801,2.49265472467065,7.84040844628993,-2.75934253189813,16.6181160375508,59.0511802227821,-0.817511776035438,19.9519724365083,3.10509848191572,3.43223044789511,2.26054460931586,2.67286674184503,0.305985465926923
GBR-2011,2011,GBR,ECS,,LNX,HIC,1.60419464111328,42295.9273835322,,,81.1359685592627,63258810.0,169.61587364494,,0.5,15.9256459850249,52.2814445132043,2675590034128.66,261.475674781962,,70.317944602966,3.02115058943336,15.6974630901018,42.5122983092258,19.1454924660757,0.781506562236639,,-0.794217773639252,7.897,20.8042181029914,14.8642962389978,61.778,3.8561124468282,9.88146050986155,-1.6237867474026,16.491680863741,63.3240615708901,-1.92821635664364,20.830108181603,1.41795263996963,0.844422588547104,0.851437739020326,1.00957357920277,-2.06543396443013
GBR-2012,2012,GBR,ECS,,LNX,HIC,1.59121036529541,42688.3263728372,,,81.2905667759508,63711000.0,160.010705514872,,0.5,16.0130654277546,53.2297920891233,2719715961539.83,263.344769148101,,70.5149769879678,0.442088097187156,15.5447962139922,43.130949034331,19.0374933366112,0.712282568284022,,-0.969792787162515,8.196,20.6413631115148,13.3983595552922,61.99,2.5732347965453,8.90323832894878,-3.13257837481106,16.5145890011547,61.9688704472535,-1.03179878401941,20.7313586753391,2.33478157123285,0.489158467425881,1.52826034721852,1.71895853790766,-0.365490379607081
GBR-2013,2013,GBR,ECS,,LNX,HIC,1.51226651668549,43606.9837896348,,,81.4573768694887,64139000.0,148.906248602627,,0.5,16.1048511571625,54.1548121554431,2796908333283.39,265.113875914521,,70.0609589776152,1.65364404767299,15.865431911069,40.0310887432144,18.8516166810779,0.669537112028056,,-1.30430748455065,7.728,20.0423459760144,12.652992730579,62.009,2.29166666666659,8.73969234659334,-4.63114682704937,17.1697393956196,61.7195395154583,-1.62209771601829,21.2399497021553,1.41749039098266,1.30069410229542,1.71846961308464,1.94762104828418,2.90942624914506
GBR-2014,2014,GBR,ECS,,LNX,HIC,1.62349116802216,47746.2421759562,,,81.6355750750722,64620000.0,134.605055432715,,0.5,16.18273032109,54.8438595447821,3085362169410.29,267.102054313231,,70.1536905900912,-3.69212237001965,16.6754130254615,39.1461420557996,18.9586861473393,0.747135714780007,,-1.757004820097,6.482,19.7332253904663,13.6216050281886,62.131,1.45112016293279,8.4224609837082,-4.97786981840051,18.4324178455585,58.8210228333296,-1.0787978449774,20.8686313591022,3.22487083239587,3.7355988459236,3.16017351468152,1.90870445734316,2.13001999598295
GBR-2015,2015,GBR,ECS,,LNX,HIC,1.70522773265839,45255.3449216209,,,81.8243772295647,65088000.0,130.08273790259,,,16.2631064479113,55.4015615937341,2945579890258.46,269.036498160625,,70.4682430021328,-2.04295991527597,17.1086235798873,38.2133758226073,18.6426121900538,0.721624002974263,,-1.36689737014631,5.709,19.4312702799147,13.6955558156759,62.25,0.36804684232536,7.29915524862748,-4.91700489264854,18.4755209500336,57.125044605439,,21.2265615886291,1.51023269719627,2.49208653433132,2.14040560033371,1.53903424150931,4.02274939949783
GBR-2016,2016,GBR,ECS,,LNX,HIC,1.57377743721008,41257.9085545556,,,82.0229991698295,65607000.0,131.480106047871,,,16.3304776264411,55.9245926453084,2706807606538.73,271.18174678626,,70.9168452005357,1.21575955191692,16.8792196552696,37.0119041977698,18.4621197618818,0.79421971482011,,-1.71641921332033,5.082,19.0926073260822,13.3480290259192,62.408,1.0084173681141,7.53580481338504,-5.46283821927875,18.5956388685899,59.8395315138259,,22.4939124962801,2.91730203113592,1.90750674068994,2.20652020635357,11.9998637298189,0.291618727353409
GBR-2017,2017,GBR,ECS,,LNX,HIC,1.4309287071228,40916.8115070354,,,82.23065673273,65966000.0,132.333248459152,,,16.43722033339,56.47995951817,2699118387873.1,272.665647088001,,70.8096710791704,6.37407704065717,17.8894747432556,36.8434052284403,18.2093398150854,0.545706020084833,,-1.24226238328608,4.529,18.5281767976876,15.7531873531931,62.412,2.55775577557747,8.16083195755549,-3.47326460218152,19.1317371265417,63.1899245764158,,23.6459539581003,3.34972891208696,3.86670647119121,3.02322219840339,4.64443540147576,2.13328390519013
GBR-2018,2018,GBR,ECS,,LNX,HIC,1.36169874668121,43702.9976303165,,,82.4465657551295,66289000.0,132.783359788981,,,16.5525851058434,57.0044449579318,2897028009916.05,274.000744016864,,70.7503687442985,-0.988327836635587,17.6754119966347,37.1969170536007,18.0840736311641,0.488451313281444,,-1.2007041945441,4.176,18.3768895986708,15.1527876787517,62.619,2.29283990345938,7.55563696309186,-3.88728858372976,18.8761161911788,64.9097721959201,,24.8419505740008,1.57747984494286,1.18386061756664,1.55133095078786,-0.864867036878713,1.62153254141897
GBR-2019,2019,GBR,ECS,,LNX,HIC,1.44982588291168,43158.7411267323,,,82.6699420738913,66631000.0,131.443065370417,,,16.6592146886574,57.4310213561674,2875710080015.3,275.414376059191,,70.9760621688525,-0.747582450453671,17.8306681740163,36.4058676559426,18.2245297278788,0.514596380840432,0.0037329003168965,-1.19784585707431,3.704,18.934726344575,16.5464399806794,62.625,1.73810460086513,6.75334994473974,-2.66245642145608,19.0285140310906,65.0035664177054,,24.9751391579921,1.34643107404433,2.90273951045921,1.25629899760824,0.688204352262878,0.915277976772884
GBR-2020,2020,GBR,ECS,,LNX,HIC,1.33215415477753,40812.6794663879,,,82.9000015258789,66744000.0,145.572075379344,,,16.8152635919065,57.6593808571739,2724001478304.59,275.881453312942,,72.1096426823299,0.601630459727419,19.0181294476449,47.5326631273768,17.1878218535671,0.169447088341033,0.0360483667696017,0.73741481230468,4.607,22.3849730788057,15.5605971990805,62.573,0.989486703772491,6.12765909510151,-2.92883387550298,18.2807146353402,59.1598893030611,,22.6565394120655,-10.8953418004959,-11.1278977896719,-10.047896637362,5.77039185007421,-4.01066567554335
GBR-2021,2021,GBR,ECS,,LNX,HIC,1.23967301845551,47691.3768799404,,,82.9886431523641,66984000.0,136.161594591011,,,16.9558776733854,57.6129608377299,3194559188925.93,276.873475798785,,72.1686675403806,4.1730396545526,18.9391695355137,42.9472430652547,16.9227327280671,0.358937930235741,0.625419530474569,0.0404279246309822,5.015,21.9023771103032,18.1443057036608,61.973,2.51837109614213,7.90342486310386,-0.752836357784011,18.8987416108827,58.53838629291,,22.3963394136188,9.7830365348065,10.8869837106077,8.5431118453255,3.20643815254935,4.1777987006873
