Provider Id,Provider Name,Provider Region,Dataset Id,Dataset Name
ILO,International Labour Organization,World,SOC,Social protection
ILO,International Labour Organization,World,LUU,Other measures of labour underutilization
ILO,International Labour Organization,World,VOL,Volunteer work
ILO,International Labour Organization,World,WOM,Women
ILO,International Labour Organization,World,HOW,Hours of work
ILO,International Labour Organization,World,CLD,Child labour
ILO,International Labour Organization,World,CBC,Collective bargaining
ILO,International Labour Organization,World,EES,Employees
ILO,International Labour Organization,World,MFL,International migrant flow
ILO,International Labour Organization,World,MST,International migrant stock
ILO,International Labour Organization,World,LAI,Labour inspection
ILO,International Labour Organization,World,MNA,Nationals abroad
ILO,International Labour Organization,World,POP,Population
ILO,International Labour Organization,World,PSE,Public sector workers
ILO,International Labour Organization,World,YTH,School-to-work transition
ILO,International Labour Organization,World,STR,Strikes and lockouts
ILO,International Labour Organization,World,TRU,Time-related underemployment
ILO,International Labour Organization,World,TUM,Trade union membership
ILO,International Labour Organization,World,UNE,Unemployment
ILO,International Labour Organization,World,UNP,Unpaid work
ILO,International Labour Organization,World,CAR,Care paid workers
ILO,International Labour Organization,World,TOU,Tourism sector workers
ILO,International Labour Organization,World,STM,Workers in STEM occupations
ILO,International Labour Organization,World,STW,School-to-work transition
ILO,International Labour Organization,World,WBL,Work-based learning
FH,Freedom House,World,FIW,"All data, Freedom in the world since 2013"
FH,Freedom House,World,CTRS,Country and Territory Ratings and Statuses
GGDC,"Groningen Growth and Development Center, University of Groningen",World,penn10,Penn World Table 10.0
