,INDICATOR NAME,INDICATOR DESCRIPTION,INDICATOR FREQUENCY 1,INDICATOR FREQUENCY 2,PROVIDER,DATASET
74,BFDAEO_BP6_XDC,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Acquisition of Financial Assets, Equity and Investment Fund Shares, Equity Other Than Reinvestment of Earnings, National Currency",A,Q,IMF,BOP
75,BFDAERV_BP6_EUR,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Acquisition of Financial Assets, Equity and Investment Fund Shares, Reinvestment of Earnings, Euros",A,Q,IMF,BOP
76,BFDAERV_BP6_USD,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Acquisition of Financial Assets, Equity and Investment Fund Shares, Reinvestment of Earnings, US Dollars",A,Q,IMF,BOP
77,BFDAERV_BP6_XDC,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Acquisition of Financial Assets, Equity and Investment Fund Shares, Reinvestment of Earnings, National Currency",A,Q,IMF,BOP
78,BFDAE_BP6_EUR,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Acquisition of Financial Assets, Equity and Investment Fund Shares, Euros",A,Q,IMF,BOP
79,BFDAE_BP6_USD,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Acquisition of Financial Assets, Equity and Investment Fund Shares, US Dollars",A,Q,IMF,BOP
80,BFDAE_BP6_XDC,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Acquisition of Financial Assets, Equity and Investment Fund Shares, National Currency",A,Q,IMF,BOP
81,BFDA_BP6_EUR,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Acquisition of Financial Assets, Euros",A,Q,IMF,BOP
82,BFDA_BP6_USD,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Acquisition of Financial Assets, US Dollars",A,Q,IMF,BOP
83,BFDA_BP6_XDC,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Acquisition of Financial Assets, National Currency",A,Q,IMF,BOP
