COUNTRY_PERIOD_INDEX,NY.GDP.MKTP.CD,NY.GDP.MKTP.KD.ZG,NY.GDP.MKTP.PP.CD,NY.GDP.PCAP.CD,NY.GDP.PCAP.KD.ZG,NE.GDI.TOTL.KD.ZG,NE.GDI.TOTL.ZS,NV.IND.TOTL.CD,NV.IND.TOTL.KD.ZG,NV.IND.TOTL.ZS,SL.IND.EMPL.ZS,NV.SRV.TOTL.CD,NV.SRV.TOTL.KD.ZG,NV.SRV.TOTL.ZS,NY.GNP.MKTP.KD.ZG,NY.GNP.MKTP.PP.CD,BG.GSR.NFSV.GD.ZS,CM.MKT.LCAP.GD.ZS,CM.MKT.TRAD.GD.ZS,NY.GDS.TOTL.ZS,NY.GNS.ICTR.ZS,NE.TRD.GNFS.ZS,GC.DOD.TOTL.GD.ZS,DT.DOD.DIMF.CD,GC.REV.XGRT.GD.ZS,GC.XPN.TOTL.GD.ZS,FP.CPI.TOTL.ZG,NY.GDP.DEFL.KD.ZG,FR.INR.RINR,FM.LBL.BMNY.GD.ZS,FM.LBL.BMNY.ZG,BN.CAB.XOKA.CD,NE.IMP.GNFS.ZS,NE.EXP.GNFS.ZS,BN.CAB.XOKA.GD.ZS,GC.TAX.INTT.RV.ZS,BM.KLT.DINV.WD.GD.ZS,BX.KLT.DINV.WD.GD.ZS,DT.DOD.DECT.GN.ZS,DT.DOD.DLXF.CD,DT.DOD.DSTC.CD,DT.TDS.DECT.CD,NE.RSB.GNFS.ZS,FI.RES.TOTL.MO,NE.EXP.GNFS.CD,NE.IMP.GNFS.CD,TX.VAL.TECH.CD,DT.TDS.DECT.GN.ZS,DT.DOD.DSTC.IR.ZS,GC.XPN.INTP.RV.ZS,GC.XPN.INTP.ZS,FR.INR.DPST,FR.INR.LEND,NE.CON.GOVT.ZS,NE.CON.PRVT.ZS,NE.CON.TOTL.ZS,NE.DAB.TOTL.ZS,FS.AST.DOMO.GD.ZS,SL.UEM.1524.ZS,SL.UEM.INTM.ZS,SL.UEM.BASC.ZS,SL.UEM.TOTL.ZS,EN.URB.LCTY.UR.ZS,SP.POP.TOTL,SP.POP.GROW,SP.URB.TOTL.IN.ZS,EN.POP.DNST,SE.PRM.CUAT.ZS,SP.POP.DPND,SL.TLF.CACT.ZS,IQ.CPA.BREG.XQ,IQ.CPA.PADM.XQ,FS.AST.PRVT.GD.ZS,FM.AST.PRVT.GD.ZS
KIR-2023,288610747.738991,2.65201087489879,461941012.755097,2177.70125812262,1.05564933854352,37.3492111792758,25.8459739509243,33060549.5711187,14.4038943087577,11.4550652843384,,193675194.388343,4.95787089394062,67.1060228718493,4.44860014245165,783601356.182847,38.2499379474829,,,-69.1594683679386,29.7990772678534,107.603778509938,,,81.0745050588804,84.5644527917589,9.28307374517721,8.70356056522546,,,,-5116792.57434393,101.683620874243,5.92015763569494,-1.77290437533233,0.455316266374584,0.00572657518902926,1.77076659064425,,,,,-95.7634632385484,,17086211.2197061,293469858.533235,,,,0.706479491838013,0.754132350743955,,,55.9069057475778,113.252562620361,169.159468367939,195.005442318863,,,3.839,2.603,,,132530.0,1.56733842415292,61.5244676194408,163.617283950617,99.2423243476076,64.0608558943316,,2.5,3.0,,
KNA-2023,1055651851.85185,3.02127526129283,1588819556.44645,22576.9248439166,2.91331421745427,,,225118518.518519,-3.72258560984994,21.3250720986857,,691185185.185185,4.86256790920339,65.4747286212486,,1562782015.49172,81.4720104130851,,,,,,,,,,3.55711230848243,4.40820443649315,2.16417481337039,107.776454867275,-1.85401968785128,-141911021.851851,,,-13.4429756934454,,-0.11535242398939,2.82603990513145,,,,,,4.56749477767838,,,,,,,,1.999894,6.6677805,,,,,,,,,,,46758.0,0.104849849656036,31.7007809622822,179.838461538462,,40.908269045323,,,,61.7075986050395,61.7075986050395
KOR-2023,1844800934391.54,1.58301467403629,2969845527350.41,35674.095995632,1.50434142529414,0.125953281358008,31.8912200894147,599993260126.564,1.04038737225088,32.5234690063974,23.9914232241802,1086304079346.69,2.68114753426278,58.8846232184384,1.99082441663762,3012598235210.35,15.4393623013825,106.678084519135,183.863103425776,32.2761724912913,33.3597970548711,82.2580090716629,48.5543799702909,,27.3522982777032,28.3225119832631,3.5974562502901,2.03849717899953,3.08772627466291,162.102920744302,3.8932411347225,32530200000.0,40.9365283348931,41.3214807367697,1.76334472698699,1.09154187696094,1.63118954674235,1.00819007911736,,,,,0.38495240187664,6.31772211606366,762299062736.35,755197457229.567,164678173896.0,,,4.50681533589999,4.42673830435798,3.84416666666666,5.18916666666667,17.7751832803211,49.9486442283876,67.7238275087087,99.6150475981234,,5.405,2.49,2.842,2.675,23.7967539414133,51712619.0,0.077477253324535,81.1645551720421,529.842407786885,97.7481819282672,41.4544025774417,64.266,,,163.515631501207,163.515631501207
KWT-2023,165384407116.233,-1.6672059801285,257354881877.274,34075.849012909,-7.01146413379739,-2.83967459956546,17.7221661206743,99717100118.8209,-5.07387918183208,60.2941364651985,25.2040679334938,86122113058.9059,3.77241623930354,52.0739013795774,-7.6025808782952,307589719000.98,25.2164216213634,79.2909393857414,20.0287926640629,37.1011222114139,48.8040776975629,96.0797881582,,,,,3.64216403030709,-8.06536069344132,14.1330324000967,76.7136032073753,1.00812084910375,51396157169.6883,38.3496376441492,57.7301505140508,31.0767853305341,,6.77278632164282,1.27859898143139,,,,,19.3805128699016,9.1657272522311,95476667154.9718,63424320848.9998,54309247.0,,,,,2.498675,4.92779166666667,24.5978587375597,38.3010190510264,62.8988777885861,80.6210439092604,,15.091,,,2.08,67.9471177025685,4853420.0,5.58813678140227,100.0,272.358024691358,,27.4788324128055,73.971,,,,4.58794865422268
LAO-2023,15843155731.2552,3.74568140158232,71221494499.9171,2066.94979776957,2.31116087572821,,,4837482761.35781,2.60872924718252,30.5335808308347,7.24890970605785,6970579215.63955,5.47803687534254,43.9974165114598,,66018227862.0661,14.3569501558248,,,,,,,204043792.1,,,31.2301341732646,24.4217202066693,,,,404522650.101508,,,2.55329592767602,,,11.2425630959408,122.953016783805,17712296645.5,140163210.0,1257440526.1,,2.16851206677151,,,146953997.0,8.56235011647779,7.91996289053894,,,,,,,,,,2.176,,,1.186,24.2456098475234,7664993.0,1.39237667233214,38.8070088517156,33.2105415944541,63.7508583068848,54.0669284232336,65.99,3.5,2.5,,
LBN-2023,20078620356.9931,-0.760584470257314,72600709791.5249,3477.72489842684,-1.25912842069158,4.46107228272228,1.89754409912655,418900661.788694,0.102959890797294,2.0863020184691,20.123353070803,8509412138.22995,-1.02819292804188,42.3804623372256,4.61511250058764,71678241377.2265,72.4519406213605,,,-41.2060419770808,-12.7002384584753,104.206410069182,,1073963560.3,,,221.341644023365,202.907703485723,,,,-5642829132.73833,73.6549981017088,30.5514119674735,-28.103669636709,,0.361938078109898,3.26435467389127,331.649550570327,48098963787.5,17156121661.4,4356942884.7,-43.1035861342353,13.6032284132075,6134302022.64995,14788907442.7926,98096541.0,21.978675845525,62.4092763017391,,,,,5.16901441243845,136.037027564642,141.206041977081,143.103586076207,,22.744,,,10.985,46.3659911421543,5773493.0,0.503630953855672,90.4524074197598,564.368817204301,,57.5802354030357,43.424,,,,
LBR-2023,4390000000.0,4.68375688761311,9857427644.16015,799.194470229642,2.40186206516404,,,1024922100.0,13.8270133960551,23.3467448747153,8.20136751969499,1777527500.0,3.75180698112977,40.4903758542141,,9244425879.50053,6.47273827089812,,,,,,,726948775.0,,,10.0944535665552,4.8121348688661,,28.9052660982452,26.2598597169664,-505149795.947239,,,-11.5068290648574,,2.02114469082005,7.11347042965831,51.1452722006315,1378622923.0,79158.5,123681926.6,,2.05772839095759,,,97955.0,3.00417601651688,0.0179323071454364,,,,,,,,,,2.215,,,2.905,55.5442644113801,5493031.0,2.20390696065654,54.997863482224,57.0289763289037,,76.2870435714976,76.647,2.5,3.0,,
LBY-2023,44027664915.187,10.2000497852517,101162038920.033,6026.51518708812,8.96534736140164,-10.6826183499117,16.880425672487,34737619842.4105,17.7999356445963,78.8995280792827,18.2844566866298,10556417016.5782,-1.01524897210258,23.9767815007079,-11.1352133460904,106170968190.203,24.2954061284096,,,30.6503067484663,24.7224028873525,159.433825342143,,,,,2.37317531435169,-7.62199522874144,,,,1864600000.0,72.2539004719207,87.1799248702218,4.23506448409627,,-0.372909465710425,1.80500147243983,,,,,14.9260243983011,31.5696640862316,38383285195.173,31811705187.93,,,,,,,,36.1401604530439,33.2095327984899,69.3496932515337,86.2301189240208,,49.864,,,18.713,18.4339323739772,7305659.0,1.12674309223491,87.8647197919848,4.15202780272117,,48.8966237042016,48.507,,,12.2180075415622,12.2180075415622
LCA-2023,2430166666.66667,2.20988276526516,4656839898.51058,13554.7684784933,1.9225537588581,,,235359259.259259,12.4298265089283,9.68490196526682,15.0730157299319,1853007407.40741,0.934456660041192,76.2502190826723,,4275311817.94267,74.9987327496207,,,,,,,75774814.2,,,4.07060821926204,1.49011520385767,4.84221250145505,63.120616703625,10.9785206418603,-51760980.0,,,-2.12993539537755,,1.56985789726356,8.35645076926594,48.6881101506005,930117382.0,80372000.0,68496394.0,,3.26389479224381,,,,3.07011865774219,18.9412023477755,,,1.2313225,6.40448225,,,,,,30.261,,15.367,12.094,,179285.0,0.281512532799571,29.0976313248036,293.909836065574,,37.3031797573827,68.564,3.5,3.5,50.6183389342295,50.6183389342295
LIE-2023,8239379403.22096,,,206780.590353385,,,,3222740375.51893,,39.1138727542888,,4731605248.80633,,57.4267188977442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39846.0,0.889858277389592,14.6783761234077,249.0375,,52.6959187583828,,,,,
LKA-2023,83716142582.1945,-2.3298481898334,318559256926.749,3798.89016573011,-1.69162602435424,-5.71719610201755,24.5850342832275,21584262594.5539,-9.23677040127156,25.7826769471156,26.2644369729241,50097000892.7987,-0.152255622894216,59.8415064855768,-2.30761896597348,308876205404.562,9.29284602985668,15.6745158045432,1.22160430289285,22.4270764580967,26.3564299316925,43.5362302960951,,2853755333.1,11.1190517645773,18.1135068059197,16.5411742279832,16.6674742441681,,,,1439114685.90877,22.8470940659011,20.689136230194,1.71904084626906,12.7654076144192,0.0615072639538359,0.851705946554554,74.5886504230503,50393580056.7,7297371620.6,2858282973.1,-2.15795783570708,2.38312008892394,17320146785.4937,19126705844.0978,112381343.0,3.52128996931294,165.656703608694,79.8744543518094,49.4413883545725,,,6.77749233444335,70.79543120746,77.5729235419033,102.157957825131,,20.342,7.173,3.164,4.528,14.2481583395503,22037000.0,-0.651320770103285,20.1455348442463,356.239896540576,87.3160705566406,51.745033375023,47.4,3.5,3.5,,
LSO-2023,2117962445.37471,1.82662476743647,6659272926.51044,916.282976983803,0.709359727084816,-3.38447330382093,27.2206687179899,608538537.484924,-8.31534499543916,28.7322628790645,32.975112652797,1070989234.61392,5.20568196222406,50.5669605687668,1.32000071719148,8100369469.82877,20.348765022963,,,-28.4483042433133,19.8890958212605,141.51375589725,,176795824.7,47.6598415158262,,6.34221743124953,-0.368097869054722,11.4937394122392,,,-151555161.08569,98.5907752068479,42.9229806904018,-7.15570577829,12.8423494674681,,-1.21096656797415,68.921116233095,1595453298.4,3364904.2,130559967.8,-55.6677945164461,4.70108384606496,909092611.458147,2088115593.48483,480654.0,5.06773346814923,0.393975862021306,3.46261731519561,,2.43538377192982,11.0833333333333,35.5840481087612,92.8642561345521,128.448304243313,155.668972961303,,24.738,,,16.348,,2311472.0,1.10328678263994,42.6781596804785,76.135441370224,,63.2665285082422,57.46,3.5,2.5,24.8667315527873,24.8667315527873
LTU-2023,79789877416.1681,0.342262716277261,150322440348.994,27786.0057829276,-1.05357687282228,-4.38594888081153,21.9341715222081,19338747825.1631,-1.13011091417184,24.2370942924201,25.808480303668,50339359485.2107,1.08920215598675,63.0899070350123,6.21184117417941,145721448694.94,43.6675347033859,,,25.8379787143291,23.7460419115887,149.041909014608,,,34.1174044878476,34.1003296593768,9.11731962390475,9.0217556386887,,,,878388495.21653,72.5690509112436,76.4728581033646,1.10087710830163,,3.01601214513048,4.80150438624708,,,,,3.90380719212102,1.16762895217615,61017599737.3148,57902756764.1579,3740035230.0,,,1.40842358233328,1.45328967238392,,,17.2754834531022,57.3241995649036,74.1620212856709,96.096192807879,,13.712,8.93,18.065,6.841,27.4870226619717,2871585.0,1.40084461829591,68.575454583199,45.87196485623,99.3816711554173,53.2410196696624,62.886,,,34.3868073370538,34.3868073370538
LUX-2023,88788881539.3937,0.0994399943552651,100303192312.789,133230.619178899,-1.90230848156084,-5.51629689716523,16.4259109763361,8245131742.21191,3.5346521785095,9.28622097638849,9.00283156041938,72642378220.815,-0.498108543079681,81.8147238273129,5.31666915574849,69612283289.4306,329.173829402827,60.6190426851136,0.0473595333908371,48.618586729151,15.785401674267,402.566968197345,,,42.8790104958298,42.2321737913696,3.74140361983136,6.91074927081021,,,,6083758087.79973,185.187145613366,217.379822583978,6.8519368442551,,-23.8030552176999,-10.4511316835125,,,,,32.1926769706122,0.0653936456450618,193009113164.633,164425595344.836,792916097.0,,,0.591304232247262,0.600360770108885,,,18.3408704839661,31.1185675488431,51.381413270849,67.8073242471851,,18.848,5.265,9.642,5.184,,666430.0,2.02002574712319,94.8015300320787,258.862052624628,98.2765808369639,44.7725431159019,61.538,,,93.2053363391819,93.2053363391819
LVA-2023,42779550936.838,-0.941606068823631,80201601896.8545,22710.2637544197,-1.16914941176928,1.51118680890868,24.6916298440452,8613605383.80603,-2.09033963147812,20.1348662975065,23.3245439712967,27319034711.0358,0.0721661623743302,63.8600315168596,0.992303669537577,77702938168.8999,32.4453678993195,,,21.0279509863217,20.8699835014902,135.642989154266,,,31.9578742622027,34.1951936826963,8.9380462331663,10.6724737437668,,,,-1662890537.49109,69.653334005995,65.9896551482715,-3.88711545837933,,2.38422237774829,3.94830779361871,,,,,-3.6636788577235,1.758211629851,28230078137.1985,29797383500.3005,2140234227.0,,,1.86601355165651,1.85834760754293,,,20.112103306672,62.3501041509196,78.9720490136783,103.663678857723,,12.323,7.444,15.904,6.465,48.2549985322418,1883710.0,0.22997050070229,68.3586316343061,30.2701269484172,99.5909947676685,58.7910304708067,60.985,,,28.5636863670335,28.5636863670335
MAC-2023,45626467279.891,75.3084184293413,78963813359.371,67216.3631112124,74.9210250474262,20.7621663376534,15.2974689049317,2479478234.34064,6.77602658947143,5.43429807775942,11.3312564391895,41456757021.5505,76.3983034698289,90.8612029225015,50.145714483697,76921980301.6974,93.7839805206385,,,54.2570888057754,44.9661513298208,145.874467252327,,,27.4243671928547,19.5867260271728,0.476384495788075,4.37730030836568,1.5638472039005,197.219805438375,1.09638172541453,13361125569.2063,53.4574236757415,92.4170435765852,29.283717030389,,1.04075220306071,2.50808598999395,,,,,38.9596199008437,8.49951555451695,42166632148.5132,24390733922.0849,0.0,,,,,0.635199189610743,6.00960180074487,13.8674762981647,31.8754348960598,45.7429111942246,61.0403800991563,,6.557,,,2.206,100.0,678800.0,0.221222713921319,100.0,20569.696969697,,38.072078888916,67.971,,,146.669253120379,146.669253120379
MAR-2023,146036093666.762,3.65564411017931,378888275534.236,3813.72607421875,2.58793464682357,4.32225504677508,28.9983598724931,36980682054.3622,0.836828503338992,25.3229740167851,23.2572707500458,78442923013.4282,4.99388388882849,53.7147502674415,7.71226625665089,373045036220.936,26.2874385559782,43.462570386766,2.31602059126414,20.7156821734291,28.0220415552762,93.1178844179777,,3915614350.5,26.1522312520082,26.6111381429324,6.09114152504141,7.05168019026993,,118.385354715175,3.91375528110209,-1529987450.01609,50.7002810585209,42.4176033594569,-1.04767760599469,4.40201945819278,0.83971469102163,0.725864122672683,48.9147951964991,55556795878.6,10159811983.4,5790153207.5,-8.28267769906397,5.63476498950227,61945010973.2121,74040709935.9332,1723700823.0,4.02698256003616,27.967120085822,8.01285790687035,7.9281220953823,2.78666666666667,,18.150541674579,61.1337761519919,79.2843178265709,108.282677699064,91.3826880915958,21.974,,,8.896,16.470059178347,37712505.0,1.02195181223548,62.673750838878,84.5003473000224,,51.1965827591372,44.224,,,80.504808579487,57.7373621426443
MCO-2023,10003892565.2005,5.44395088840088,,256799.788612806,5.37628226810594,,,1150685523.98253,,11.5023778642456,,8853098914.40682,,88.4965412883701,,,,,,,,,,,,,,4.99251887813831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38956.0,0.064195567574974,100.0,18692.8982725528,,98.1586042016379,,,,,
MDA-2023,16711906746.2133,1.2000000493378,43618128795.3083,6799.58594644576,4.11813611077881,-11.1737057103827,20.084591001224,2955979975.26748,-8.79164291491558,17.687867818777,13.3162782781413,10280466328.392,2.67126390708286,61.5158191372832,1.63717720301845,44314347133.8433,24.1002221985388,,,-3.68485857532885,8.78232416150446,93.9946211488052,34.261803411132,1178109319.2,29.4018819805652,34.4725442262112,13.4170104381299,9.27782417179883,2.7951786992693,49.1446696805562,18.3157125906104,-1848541849.96,58.882035362679,35.1125857861262,-11.0612264538806,2.97871889664523,0.0669096513629941,2.15951089914844,62.8005085116462,6661633457.2,2822940000.0,1328738405.9,-23.7694495765528,6.1384577491194,5867982592.76155,9840310840.08325,28885013.0,7.82593361533425,51.7675138648876,5.61592322277894,5.06637819324406,6.96679651766637,12.3323346360739,17.9303159195662,85.7545426557627,103.684858575329,123.769449576553,26.0759208379345,4.031,1.546,1.244,1.57,46.1460947168826,2457783.0,-2.84274212689094,43.0011825561523,85.437584732506,99.5303635443852,55.2962072281666,70.787,,,25.5773164144673,20.6913992223098
